json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
0.1467,0.3507,0.015744,0.3507,52.7998,-0.0438,
0.3423,0.3144,0.011148,0.3144,53.1142,-0.0363,
0.8299,0.2821,0.009732,0.2821,53.3963,-0.0323,
0.715,0.2999,-0.041792,0.2999,53.6962,0.0178,
0.6796,0.3413,-0.068704,0.3413,54.0375,0.0414,
-0.6085,0.3734,-0.061972,0.3734,54.4109,0.0321,
-1.2813,0.4118,-0.071344,0.4118,54.8227,0.0384,
-1.113,0.4351,-0.058108,0.4351,55.2578,0.0233,
-1.3473,0.4559,-0.057272,0.4559,55.7137,0.0208,
-1.0164,0.4626,-0.043708,0.4626,56.1763,0.0067,
-0.9955,0.459,-0.03312,0.459,56.6353,-0.0036,
-0.6564,0.4469,-0.023652,0.4469,57.0822,-0.0121,
-0.3917,0.4193,-0.005944,0.4193,57.5015,-0.0276,
-0.155,0.3911,-0.003088,0.3911,57.8926,-0.0282,
0.2877,0.3464,0.016988,0.3464,58.239,-0.0447,
0.3591,0.3093,0.012356,0.3093,58.5483,-0.0371,
0.861,0.2714,0.016188,0.2714,58.8197,-0.0379,
0.7452,0.2816,-0.032728,0.2816,59.1013,0.0102,
0.841,0.3545,-0.10126,0.3545,59.4558,0.0729,
-0.3819,0.4546,-0.136468,0.4546,59.9104,0.1001,
-2.0952,0.5254,-0.112832,0.5254,60.4358,0.0708,
-2.9754,0.5859,-0.107372,0.5859,61.0217,0.0605,
-2.3845,0.6458,-0.111564,0.6458,61.6675,0.0599,
-2.248,0.673,-0.08104,0.673,62.3405,0.0272,
-2.3528,0.683,-0.06464,0.683,63.0235,0.01,
-1.5897,0.6693,-0.039844,0.6693,63.6928,-0.0137,
-1.1797,0.6397,-0.021576,0.6397,64.3325,-0.0296,
-0.5598,0.5954,-0.003332,0.5954,64.9279,-0.0443,
-0.1031,0.5173,0.036716,0.5173,65.4452,-0.0781,
0.353,0.4595,0.02104,0.4595,65.9047,-0.0578,
1.3542,0.4263,-0.000904,0.4263,66.331,-0.0332,
0.9623,0.3847,0.010824,0.3847,66.7157,-0.0416,
0.4137,0.3522,0.004324,0.3522,67.0679,-0.0325,
0.7069,0.3198,0.006816,0.3198,67.3877,-0.0324,
0.5444,0.2784,0.019128,0.2784,67.6661,-0.0414,
0.6067,0.2497,0.008724,0.2497,67.9158,-0.0287,
0.9145,0.2246,0.007132,0.2246,68.1404,-0.0251,
0.6544,0.1978,0.010976,0.1978,68.3382,-0.0268,
0.6146,0.1831,5.2e-05,0.1831,68.5213,-0.0147,
0.7107,0.1719,-0.002552,0.1719,68.6932,-0.0112,
0.4376,0.209,-0.05382,0.209,68.9022,0.0371,
0.3725,0.2758,-0.088864,0.2758,69.178,0.0668,
-0.9092,0.4287,-0.187196,0.4287,69.6067,0.1529,
-1.7853,0.541,-0.15558,0.541,70.1477,0.1123,
-4.2436,0.642,-0.15236,0.642,70.7897,0.101,
-3.4532,0.7496,-0.167568,0.7496,71.5393,0.1076,
-3.3727,0.8063,-0.121204,0.8063,72.3456,0.0567,
-3.7529,0.8384,-0.099172,0.8384,73.184,0.0321,
-2.5938,0.8415,-0.07042,0.8415,74.0255,0.0031,
-2.043,0.8149,-0.038592,0.8149,74.8404,-0.0266,
-1.3242,0.7436,0.011812,0.7436,75.584,-0.0713,
-0.5285,0.6665,0.02378,0.6665,76.2505,-0.0771,
0.7316,0.5745,0.04604,0.5745,76.825,-0.092,
1.0308,0.4722,0.064524,0.4722,77.2972,-0.1023,
1.5873,0.3277,0.118284,0.3277,77.6249,-0.1445,
2.0494,0.2189,0.091288,0.2189,77.8438,-0.1088,
3.3934,0.1171,0.092432,0.1171,77.9609,-0.1018,
2.7185,0.0989,0.010288,0.0989,78.0598,-0.0182,
2.7471,0.1474,-0.060292,0.1474,78.2072,0.0485,
0.6935,0.2383,-0.109964,0.2383,78.4455,0.0909,
-1.071,0.3712,-0.162596,0.3712,78.8167,0.1329,
-2.3128,0.472,-0.13856,0.472,79.2887,0.1008,
-3.6286,0.5654,-0.138632,0.5654,79.8541,0.0934,
-3.0277,0.6704,-0.158632,0.6704,80.5245,0.105,
-3.0295,0.7305,-0.11854,0.7305,81.255,0.0601,
-3.5295,0.7703,-0.101424,0.7703,82.0253,0.0398,
-2.5272,0.813,-0.10774,0.813,82.8383,0.0427,
-2.0993,0.8823,-0.139884,0.8823,83.7206,0.0693,
-2.2572,0.9323,-0.124584,0.9323,84.6529,0.05,
-3.0608,0.9596,-0.104068,0.9596,85.6125,0.0273,
-2.6783,0.9487,-0.064996,0.9487,86.5612,-0.0109,
-2.1654,0.8932,-0.015956,0.8932,87.4544,-0.0555,
-1.1886,0.8232,0.004144,0.8232,88.2776,-0.07,
0.0374,0.6999,0.067308,0.6999,88.9775,-0.1233,
0.5399,0.5903,0.062376,0.5903,89.5678,-0.1096,
2.119,0.541,0.00602,0.541,90.1088,-0.0493,
1.9957,0.5964,-0.103112,0.5964,90.7052,0.0554,
0.5868,0.6471,-0.102468,0.6471,91.3523,0.0507,
-2.1415,0.7047,-0.113976,0.7047,92.057,0.0576,
-2.1254,0.7354,-0.089532,0.7354,92.7924,0.0307,
-2.4131,0.7524,-0.077192,0.7524,93.5448,0.017,
-1.802,0.7522,-0.059976,0.7522,94.297,-0.0002,
-1.4935,0.7346,-0.041168,0.7346,95.0316,-0.0176,
-1.0631,0.6889,-0.009412,0.6889,95.7205,-0.0457,
-0.5929,0.6396,-0.001868,0.6396,96.3601,-0.0493,
0.201,0.5799,0.013308,0.5799,96.94,-0.0597,
0.3896,0.4887,0.052104,0.4887,97.4287,-0.0912,
0.769,0.4147,0.040824,0.4147,97.8434,-0.074,
1.7389,0.3402,0.047284,0.3402,98.1836,-0.0745,
1.4569,0.2452,0.075384,0.2452,98.4288,-0.095,
1.6184,0.1889,0.041188,0.1889,98.6177,-0.0563,
2.3209,0.2093,-0.037144,0.2093,98.827,0.0204,
1.466,0.3188,-0.135004,0.3188,99.1458,0.1095,
-0.4923,0.4752,-0.194416,0.4752,99.621,0.1564,
-2.9388,0.5915,-0.16362,0.5915,100.212,0.1163,
-4.4241,0.7267,-0.193336,0.7267,100.939,0.1352,
-3.6542,0.8066,-0.144428,0.8066,101.746,0.0799,
