json_angle, json_cte, steer_pid, steer_p_error, steer_i_error, steer_d_error
-9.9515,2.1884,-0.293672,2.1884,275.023,0.1186,
-10.4133,2.2269,-0.216652,2.2269,277.25,0.0385,
-6.9055,2.1861,-0.134088,2.1861,279.436,-0.0408,
-4.98,2.1443,-0.129744,2.1443,281.581,-0.0418,
-2.9159,2.2815,-0.31972,2.2815,283.862,0.1372,
-2.8073,2.3817,-0.290736,2.3817,286.244,0.1002,
-7.5567,2.3837,-0.192696,2.3837,288.628,0.002,
-6.8321,2.2792,-0.077836,2.2792,290.907,-0.1045,
-4.3811,2.3478,-0.256424,2.3478,293.255,0.0686,
-1.5096,2.6223,-0.484284,2.6223,295.877,0.2745,
-5.9743,2.8571,-0.463368,2.8571,298.734,0.2348,
-11.6708,3.0193,-0.403744,3.0193,301.753,0.1622,
-11.1479,3.0971,-0.325568,3.0971,304.85,0.0778,
-9.6573,3.064,-0.21202,3.064,307.914,-0.0331,
-7.7029,2.9372,-0.108176,2.9372,310.852,-0.1268,
-4.8642,2.7664,-0.050512,2.7664,313.618,-0.1708,
-2.2681,2.7649,-0.219692,2.7649,316.383,-0.0015,
-0.8265,2.7771,-0.234368,2.7771,319.16,0.0122,
-5.056,2.7254,-0.166332,2.7254,321.885,-0.0517,
-5.4229,2.6113,-0.094804,2.6113,324.497,-0.1141,
-3.722,2.3698,0.051916,2.3698,326.867,-0.2415,
-1.9338,2.1678,0.028576,2.1678,329.034,-0.202,
1.7342,2.1441,-0.147828,2.1441,331.178,-0.0237,
1.1507,2.1232,-0.148956,2.1232,333.302,-0.0209,
-3.2594,2.0756,-0.118448,2.0756,335.377,-0.0476,
-3.2876,1.962,-0.04336,1.962,337.339,-0.1136,
-2.5249,1.8403,-0.025524,1.8403,339.18,-0.1217,
-0.6477,1.6378,0.071476,1.6378,340.817,-0.2025,
-0.2018,1.4909,0.027628,1.4909,342.308,-0.1469,
2.2232,1.5696,-0.204268,1.5696,343.878,0.0787,
1.127,1.6998,-0.266184,1.6998,345.578,0.1302,
-4.6704,1.8025,-0.2469,1.8025,347.38,0.1027,
-6.2183,1.8449,-0.189992,1.8449,349.225,0.0424,
-5.7362,1.8429,-0.145432,1.8429,351.068,-0.002,
-4.3135,1.7952,-0.095916,1.7952,352.863,-0.0477,
-3.1995,1.692,-0.03216,1.692,354.555,-0.1032,
-1.9616,1.5792,-0.013536,1.5792,356.134,-0.1128,
-0.3677,1.4609,0.001428,1.4609,357.595,-0.1183,
0.0979,1.2677,0.091784,1.2677,358.863,-0.1932,
0.472,1.0434,0.140828,1.0434,359.906,-0.2243,
2.7309,0.8649,0.109308,0.8649,360.771,-0.1785,
3.957,0.6324,0.181908,0.6324,361.404,-0.2325,
3.169,0.5311,0.058812,0.5311,361.935,-0.1013,
4.984,0.5534,-0.066572,0.5534,362.488,0.0223,
1.9066,0.6299,-0.126892,0.6299,363.118,0.0765,
-1.228,0.7021,-0.128368,0.7021,363.82,0.0722,
-2.736,0.8014,-0.163412,0.8014,364.622,0.0993,
-2.7729,0.8707,-0.138956,0.8707,365.492,0.0693,
-3.649,0.9454,-0.150332,0.9454,366.438,0.0747,
-3.0376,0.9829,-0.116132,0.9829,367.421,0.0375,
-3.322,1.0026,-0.099908,1.0026,368.423,0.0197,
-2.467,0.9926,-0.069408,0.9926,369.416,-0.01,
-2.0614,0.9463,-0.029404,0.9463,370.362,-0.0463,
-1.2989,0.888,-0.01274,0.888,371.25,-0.0583,
-0.2988,0.7841,0.041172,0.7841,372.034,-0.1039,
0.1178,0.6904,0.038468,0.6904,372.725,-0.0937,
1.4656,0.5535,0.09262,0.5535,373.278,-0.1369,
1.398,0.4472,0.070524,0.4472,373.725,-0.1063,
2.7518,0.3107,0.111644,0.3107,374.036,-0.1365,
2.1994,0.1882,0.107444,0.1882,374.224,-0.1225,
3.2274,0.1109,0.068428,0.1109,374.335,-0.0773,
3.1224,0.0352,0.072884,0.0352,374.37,-0.0757,
2.147,-0.0131,0.049348,-0.0131,374.357,-0.0483,
2.2584,-0.0188,0.007204,-0.0188,374.338,-0.0057,
1.67,0.0126,-0.032408,0.0126,374.351,0.0314,
0.6164,0.0689,-0.061812,0.0689,374.42,0.0563,
-0.3739,0.1269,-0.068152,0.1269,374.547,0.058,
-1.109,0.1933,-0.081864,0.1933,374.74,0.0664,
-1.2675,0.2645,-0.09236,0.2645,375.005,0.0712,
-1.6103,0.3369,-0.099352,0.3369,375.341,0.0724,
-1.8727,0.429,-0.12642,0.429,375.77,0.0921,
-2.0475,0.4908,-0.101064,0.4908,376.261,0.0618,
-2.7242,0.556,-0.10968,0.556,376.817,0.0652,
-2.0903,0.589,-0.08012,0.589,377.406,0.033,
-2.3057,0.6065,-0.06602,0.6065,378.013,0.0175,
-1.5667,0.6052,-0.047116,0.6052,378.618,-0.0013,
-1.2142,0.5767,-0.017636,0.5767,379.195,-0.0285,
-0.7416,0.5388,-0.005204,0.5388,379.733,-0.0379,
-0.0046,0.4893,0.010356,0.4893,380.223,-0.0495,
0.3062,0.4302,0.024684,0.4302,380.653,-0.0591,
0.6952,0.3133,0.091836,0.3133,380.966,-0.1169,
1.0534,0.0454,0.264268,0.0454,381.012,-0.2679,
2.7322,-0.2213,0.284404,-0.2213,380.79,-0.2667,
7.043,-0.5465,0.36892,-0.5465,380.244,-0.3252,
7.5464,-0.7512,0.264796,-0.7512,379.493,-0.2047,
9.6593,-0.9079,0.229332,-0.9079,378.585,-0.1567,
7.0562,-1.0192,0.192836,-1.0192,377.566,-0.1113,
6.1696,-1.306,0.39128,-1.306,376.26,-0.2868,
5.2572,-1.5944,0.415952,-1.5944,374.665,-0.2884,
10.2183,-1.8734,0.428872,-1.8734,372.792,-0.279,
10.8351,-1.996,0.28228,-1.996,370.796,-0.1226,
11.1581,-2.0406,0.207848,-2.0406,368.755,-0.0446,
7.4933,-1.9967,0.115836,-1.9967,366.758,0.0439,
5.6325,-1.871,0.02398,-1.871,364.887,0.1257,
3.3322,-1.6722,-0.065024,-1.6722,363.215,0.1988,
1.0358,-1.537,-0.01224,-1.537,361.678,0.1352,
-1.1893,-1.6778,0.275024,-1.6778,360,-0.1408,
0.1303,-1.8018,0.268144,-1.8018,358.199,-0.124,
7.3119,-1.8737,0.221796,-1.8737,356.325,-0.0719,
7.1399,-1.8847,0.161776,-1.8847,354.44,-0.011,
5.9812,-1.8348,0.096884,-1.8348,352.605,0.0499,
4.4807,-1.9741,0.297228,-1.9741,350.631,-0.1393,
2.8584,-2.2735,0.48128,-2.2735,348.358,-0.2994,
7.867,-2.5147,0.442376,-2.5147,345.843,-0.2412,
12.4683,-2.6796,0.379268,-2.6796,343.164,-0.1649,
11.4957,-2.7563,0.297204,-2.7563,340.407,-0.0767,
9.918,-2.7411,0.204088,-2.7411,337.666,0.0152,
7.8664,-2.7508,0.229764,-2.7508,334.915,-0.0097,
5.5385,-2.9133,0.395564,-2.9133,332.002,-0.1625,
6.1804,-3.1144,0.450252,-3.1144,328.888,-0.2011,
10.3254,-3.1646,0.303368,-3.1646,325.723,-0.0502,
11.6926,-3.1446,0.231568,-3.1446,322.578,0.02,
8.0205,-3.0379,0.136332,-3.0379,319.541,0.1067,
6.2255,-2.763,-0.05386,-2.763,316.778,0.2749,
3.8446,-2.4672,-0.098424,-2.4672,314.31,0.2958,
-0.9102,-2.2158,-0.074136,-2.2158,312.095,0.2514,
-2.0243,-2.0025,-0.0531,-2.0025,310.092,0.2133,
-1.4171,-1.7569,-0.105048,-1.7569,308.335,0.2456,
-0.8912,-1.3895,-0.25624,-1.3895,306.946,0.3674,
-2.1899,-1.0939,-0.208088,-1.0939,305.852,0.2956,
-5.9697,-0.7988,-0.231196,-0.7988,305.053,0.2951,
-4.7659,-0.5416,-0.213872,-0.5416,304.511,0.2572,
-5.3436,-0.4279,-0.079468,-0.4279,304.083,0.1137,
-4.9105,-0.3224,-0.079708,-0.3224,303.761,0.1055,
-1.5504,-0.2717,-0.028964,-0.2717,303.489,0.0507,
-1.5564,-0.2422,-0.010124,-0.2422,303.247,0.0295,
-0.2878,-0.2313,0.007604,-0.2313,303.016,0.0109,
0.1832,-0.2643,0.054144,-0.2643,302.752,-0.033,
0.6264,-0.3542,0.118236,-0.3542,302.397,-0.0899,
1.7899,-0.4558,0.138064,-0.4558,301.942,-0.1016,
3.3922,-0.5546,0.143168,-0.5546,301.387,-0.0988,
3.8879,-0.6692,0.168136,-0.6692,300.718,-0.1146,
4.0155,-0.7154,0.103432,-0.7154,300.002,-0.0462,
4.6397,-0.7657,0.111556,-0.7657,299.237,-0.0503,
3.0221,-0.7957,0.093656,-0.7957,298.441,-0.03,
3.2252,-0.7888,0.056204,-0.7888,297.652,0.0069,
2.7777,-0.7553,0.026924,-0.7553,296.897,0.0335,
1.8414,-0.6964,-0.003188,-0.6964,296.2,0.0589,
1.1094,-0.6147,-0.032524,-0.6147,295.586,0.0817,
0.3566,-0.5135,-0.06012,-0.5135,295.072,0.1012,
-0.3768,-0.4031,-0.078152,-0.4031,294.669,0.1104,
-1.0667,-0.2867,-0.093464,-0.2867,294.382,0.1164,
-1.5175,-0.1641,-0.109472,-0.1641,294.218,0.1226,
-1.9003,0.0013,-0.165504,0.0013,294.22,0.1654,
-2.3005,0.1214,-0.129812,0.1214,294.341,0.1201,
-3.7013,0.231,-0.12808,0.231,294.572,0.1096,
-2.809,0.3264,-0.121512,0.3264,294.898,0.0954,
-2.7657,0.4055,-0.11154,0.4055,295.304,0.0791,
-2.6015,0.4663,-0.098104,0.4663,295.77,0.0608,
-2.3522,0.517,-0.09206,0.517,296.287,0.0507,
-2.0163,0.5315,-0.05702,0.5315,296.819,0.0145,
-1.8652,0.5544,-0.067252,0.5544,297.373,0.0229,
-0.9892,0.5878,-0.080424,0.5878,297.961,0.0334,
-1.245,0.6251,-0.087308,0.6251,298.586,0.0373,
-1.5743,0.6443,-0.070744,0.6443,299.23,0.0192,
-1.7464,0.6449,-0.052192,0.6449,299.875,0.0006,
-1.3323,0.6177,-0.022216,0.6177,300.493,-0.0272,
-0.8685,0.5779,-0.006432,0.5779,301.071,-0.0398,
-0.1191,0.5243,0.011656,0.5243,301.595,-0.0536,
0.2755,0.4599,0.027608,0.4599,302.055,-0.0644,
0.7277,0.3877,0.041184,0.3877,302.443,-0.0722,
1.1265,0.2853,0.079576,0.2853,302.728,-0.1024,
1.4659,0.2078,0.060876,0.2078,302.936,-0.0775,
2.4257,0.1348,0.062216,0.1348,303.071,-0.073,
1.9582,0.0496,0.081232,0.0496,303.12,-0.0852,
1.9917,-0.0027,0.052516,-0.0027,303.118,-0.0523,
2.4671,-0.0419,0.042552,-0.0419,303.076,-0.0392,
1.7492,-0.0669,0.030352,-0.0669,303.009,-0.025,
1.5001,-0.0777,0.017016,-0.0777,302.931,-0.0108,
1.1951,-0.074,0.00222,-0.074,302.857,0.0037,
0.8617,0.0741,-0.154028,0.0741,302.931,0.1481,
0.4918,0.3229,-0.274632,0.3229,303.254,0.2488,
-3.4144,0.5739,-0.296912,0.5739,303.828,0.251,
-6.4295,0.8843,-0.381144,0.8843,304.712,0.3104,
-6.9865,1.0838,-0.286204,1.0838,305.796,0.1995,
-9.0923,1.2406,-0.256048,1.2406,307.037,0.1568,
-6.7188,1.3489,-0.216212,1.3489,308.386,0.1083,
-5.9649,1.4073,-0.170984,1.4073,309.793,0.0584,
-4.969,1.5193,-0.233544,1.5193,311.312,0.112,
-3.8383,1.6861,-0.301688,1.6861,312.998,0.1668,
-5.4023,1.8528,-0.314924,1.8528,314.851,0.1667,
-7.1059,1.9624,-0.266592,1.9624,316.813,0.1096,
-7.4368,2.0092,-0.207536,2.0092,318.823,0.0468,
-6.2285,1.9676,-0.115808,1.9676,320.79,-0.0416,
-4.7521,1.8636,-0.045088,1.8636,322.654,-0.104,
-2.4589,1.7042,0.023064,1.7042,324.358,-0.1594,
-0.6909,1.4989,0.085388,1.4989,325.857,-0.2053,
1.0129,1.1722,0.232924,1.1722,327.029,-0.3267,
2.571,0.9014,0.198688,0.9014,327.931,-0.2708,
6.2594,0.661,0.18752,0.661,328.592,-0.2404,
5.4035,0.7864,-0.188312,0.7864,329.378,0.1254,
5.1243,1.3429,-0.663932,1.3429,330.721,0.5565,
-4.2715,1.7736,-0.572588,1.7736,332.494,0.4307,
-16.162,2.1823,-0.583284,2.1823,334.677,0.4087,
-13.8784,2.6579,-0.688232,2.6579,337.335,0.4756,
-14.1458,2.9408,-0.518164,2.9408,340.275,0.2829,
-16.7695,3.1861,-0.500188,3.1861,343.462,0.2453,
-12.5178,3.2552,-0.329516,3.2552,346.717,0.0691,
-12.0684,3.2204,-0.222832,3.2204,349.937,-0.0348,
-7.8016,3.0205,-0.04174,3.0205,352.958,-0.1999,
-5.1345,2.7744,0.024148,2.7744,355.732,-0.2461,
-0.6072,2.4689,0.107988,2.4689,358.201,-0.3055,
1.04,1.9776,0.333092,1.9776,360.179,-0.4913,
3.136,1.7635,0.07302,1.7635,361.942,-0.2141,
8.7636,1.878,-0.26474,1.878,363.82,0.1145,
2.2618,2.2504,-0.552432,2.2504,366.07,0.3724,
-6.1822,2.5076,-0.457808,2.5076,368.578,0.2572,
-13.3745,2.7222,-0.432376,2.7222,371.3,0.2146,
-11.0089,2.8787,-0.386796,2.8787,374.179,0.1565,
-10.3731,2.9815,-0.34132,2.9815,377.16,0.1028,
-9.2336,2.9715,-0.22772,2.9715,380.132,-0.01,
-8.0967,2.8845,-0.14376,2.8845,383.016,-0.087,
-5.2567,2.657,0.01494,2.657,385.673,-0.2275,
-3.1577,2.4116,0.052472,2.4116,388.085,-0.2454,
0.8098,2.0101,0.240692,2.0101,390.095,-0.4015,
1.7481,1.6692,0.207364,1.6692,391.764,-0.3409,
6.4536,1.3152,0.248784,1.3152,393.08,-0.354,
5.6204,0.9701,0.267492,0.9701,394.05,-0.3451,
6.6559,0.9333,-0.037864,0.9333,394.983,-0.0368,
7.1236,0.9308,-0.071964,0.9308,395.914,-0.0025,
-0.5103,0.957,-0.10276,0.957,396.871,0.0262,
-1.3628,0.9876,-0.109608,0.9876,397.858,0.0306,
-2.1327,1.0214,-0.115512,1.0214,398.88,0.0338,
-2.3039,1.0625,-0.1261,1.0625,399.942,0.0411,
-2.4515,1.0855,-0.10984,1.0855,401.028,0.023,
-2.7162,1.1919,-0.201752,1.1919,402.22,0.1064,
-2.3097,1.4645,-0.38976,1.4645,403.684,0.2726,
-4.6075,1.7405,-0.41524,1.7405,405.425,0.276,
-9.3077,2.0476,-0.470908,2.0476,407.472,0.3071,
-9.9447,2.2553,-0.388124,2.2553,409.728,0.2077,
-11.3364,2.329,-0.26002,2.329,412.057,0.0737,
-9.2668,2.3251,-0.182108,2.3251,414.382,-0.0039,
-6.0642,2.2473,-0.101984,2.2473,416.629,-0.0778,
-4.1164,2.0394,0.044748,2.0394,418.668,-0.2079,
-2.1133,1.8148,0.079416,1.8148,420.483,-0.2246,
1.555,1.4501,0.248692,1.4501,421.933,-0.3647,
2.4217,1.144,0.21458,1.144,423.077,-0.3061,
6.6536,0.7338,0.351496,0.7338,423.811,-0.4102,
5.8008,0.5878,0.098976,0.5878,424.399,-0.146,
9.2237,0.6413,-0.104804,0.6413,425.04,0.0535,
2.9107,0.7586,-0.177988,0.7586,425.799,0.1173,
-2.1838,0.8668,-0.177544,0.8668,426.666,0.1082,
-4.0134,1.0128,-0.227024,1.0128,427.678,0.146,
-4.0023,1.1128,-0.189024,1.1128,428.791,0.1,
-5.2393,1.2176,-0.202208,1.2176,430.009,0.1048,
-4.2893,1.2681,-0.151948,1.2681,431.277,0.0505,
-4.6189,1.2906,-0.125748,1.2906,432.567,0.0225,
-3.3624,1.2716,-0.082728,1.2716,433.839,-0.019,
-2.7074,1.1996,-0.023968,1.1996,435.039,-0.072,
-1.6319,1.0781,0.035252,1.0781,436.117,-0.1215,
-0.1629,0.9597,0.041624,0.9597,437.076,-0.1184,
1.3176,0.9279,-0.042432,0.9279,438.004,-0.0318,
1.4769,1.1069,-0.267552,1.1069,439.111,0.179,
-0.6245,1.2399,-0.232192,1.2399,440.351,0.133,
-6.2525,1.381,-0.25158,1.381,441.732,0.1411,
-5.3685,1.4624,-0.198392,1.4624,443.195,0.0814,
-5.8532,1.4731,-0.128548,1.4731,444.668,0.0107,
-4.5235,1.4072,-0.046676,1.4072,446.075,-0.0659,
-2.7774,1.2693,0.036356,1.2693,447.344,-0.1379,
-0.7306,1.126,0.05322,1.126,448.47,-0.1433,
1.3452,0.8992,0.154864,0.8992,449.369,-0.2268,
1.7668,0.712,0.13024,0.712,450.081,-0.1872,
4.3079,0.4639,0.210988,0.4639,450.545,-0.2481,
3.6923,0.3916,0.040972,0.3916,450.937,-0.0723,
5.711,0.4222,-0.064376,0.4222,451.359,0.0306,
1.4606,0.4912,-0.108296,0.4912,451.85,0.069,
-1.1731,0.5786,-0.133688,0.5786,452.429,0.0874,
-2.2711,0.647,-0.12016,0.647,453.076,0.0684,
-2.9059,0.7303,-0.141724,0.7303,453.806,0.0833,
-2.5677,0.7829,-0.115232,0.7829,454.589,0.0526,
-3.1068,0.9883,-0.284464,0.9883,455.577,0.2054,
-2.4445,1.1608,-0.265364,1.1608,456.738,0.1725,
-6.6753,1.3455,-0.29234,1.3455,458.084,0.1847,
-6.1978,1.4384,-0.207972,1.4384,459.522,0.0929,
-6.8722,1.4897,-0.170476,1.4897,461.012,0.0513,
-4.763,1.4563,-0.083104,1.4563,462.468,-0.0334,
-3.8256,1.4434,-0.102572,1.4434,463.911,-0.0129,
-1.6413,1.3912,-0.059096,1.3912,465.303,-0.0522,
-2.128,1.3087,-0.022196,1.3087,466.611,-0.0825,
-1.0411,1.1478,0.069076,1.1478,467.759,-0.1609,
-0.1186,0.9395,0.13314,0.9395,468.699,-0.2083,
2.1632,0.7652,0.113084,0.7652,469.464,-0.1743,
3.7648,0.7052,0.003584,0.7052,470.169,-0.06,
3.2634,0.6328,0.021776,0.6328,470.802,-0.0724,
0.5259,0.5694,0.017848,0.5694,471.371,-0.0634,
0.9807,0.5272,2.4e-05,0.5272,471.898,-0.0422,
0.8825,0.4805,0.00826,0.4805,472.379,-0.0467,
0.4369,0.4444,0.000548,0.4444,472.823,-0.0361,
0.6428,0.4243,-0.013844,0.4243,473.248,-0.0201,
0.45,0.407,-0.01526,0.407,473.655,-0.0173,
0.0902,0.4366,-0.064528,0.4366,474.091,0.0296,
0.0548,0.5347,-0.140876,0.5347,474.626,0.0981,
-1.1769,0.6669,-0.185552,0.6669,475.293,0.1322,
-3.0856,0.7877,-0.183816,0.7877,476.081,0.1208,
-4.2025,0.8604,-0.141532,0.8604,476.941,0.0727,
-4.1591,0.9228,-0.136224,0.9228,477.864,0.0624,
-3.102,1.0251,-0.184308,1.0251,478.889,0.1023,
-2.9693,1.1139,-0.177912,1.1139,480.003,0.0888,
-4.1714,1.1852,-0.166116,1.1852,481.188,0.0713,
-4.0115,1.1996,-0.110368,1.1996,482.388,0.0144,
-3.7166,1.1641,-0.057628,1.1641,483.552,-0.0355,
-2.3229,1.098,-0.02174,1.098,484.65,-0.0661,
-1.0044,0.965,0.0558,0.965,485.615,-0.133,
-0.1072,0.7906,0.111152,0.7906,486.405,-0.1744,
1.8313,0.6423,0.096916,0.6423,487.048,-0.1483,
3.2151,0.4897,0.113424,0.4897,487.537,-0.1526,
2.8592,0.3117,0.153064,0.3117,487.849,-0.178,
3.2719,0.2335,0.05952,0.2335,488.082,-0.0782,
4.2629,0.1945,0.02344,0.1945,488.277,-0.039,
1.9243,0.1728,0.007876,0.1728,488.45,-0.0217,
1.0223,0.167,-0.00756,0.167,488.617,-0.0058,
0.6332,0.1849,-0.032692,0.1849,488.802,0.0179,
0.2473,0.2601,-0.096008,0.2601,489.062,0.0752,
-0.381,0.3742,-0.144036,0.3742,489.436,0.1141,
-1.9639,0.4972,-0.162776,0.4972,489.933,0.123,
-3.1646,0.6156,-0.167648,0.6156,490.549,0.1184,
-3.6331,0.7552,-0.200016,0.7552,491.304,0.1396,
-3.7549,0.84,-0.152,0.84,492.144,0.0848,
-4.5641,0.9158,-0.149064,0.9158,493.06,0.0758,
-3.3637,0.9411,-0.100588,0.9411,494.001,0.0253,
-3.2903,0.9311,-0.064488,0.9311,494.932,-0.01,
-2.0784,0.8721,-0.010768,0.8721,495.804,-0.059,
-1.1759,0.7989,0.009288,0.7989,496.603,-0.0732,
0.1671,0.6711,0.074112,0.6711,497.274,-0.1278,
0.6685,0.5585,0.06792,0.5585,497.833,-0.1126,
2.2891,0.3987,0.127904,0.3987,498.231,-0.1598,
2.1343,0.3065,0.06768,0.3065,498.538,-0.0922,
3.6339,0.2623,0.023216,0.2623,498.8,-0.0442,
2.1283,0.2424,0.000508,0.2424,499.042,-0.0199,
1.0167,0.2316,-0.007728,0.2316,499.274,-0.0108,
0.449,0.2366,-0.023928,0.2366,499.511,0.005,
0.2431,0.2552,-0.039016,0.2552,499.766,0.0186,
-0.1619,0.2763,-0.043204,0.2763,500.042,0.0211,
-0.5391,0.3531,-0.105048,0.3531,500.395,0.0768,
-0.6438,0.4451,-0.127608,0.4451,500.84,0.092,
-2.1899,0.5624,-0.162292,0.5624,501.403,0.1173,
-2.7539,0.6402,-0.129016,0.6402,502.043,0.0778,
-3.621,0.7201,-0.137508,0.7201,502.763,0.0799,
-2.7891,0.7583,-0.098864,0.7583,503.521,0.0382,
-3.0014,0.7768,-0.080644,0.7768,504.298,0.0185,
-2.0353,0.7569,-0.040652,0.7569,505.055,-0.0199,
-1.5798,0.7179,-0.018432,0.7179,505.773,-0.039,
-0.58,0.6609,0.004128,0.6609,506.434,-0.057,
-0.0245,0.562,0.05394,0.562,506.996,-0.0989,
0.5395,0.4743,0.049756,0.4743,507.47,-0.0877,
1.7848,0.414,0.02718,0.414,507.884,-0.0603,
1.6802,0.3545,0.03114,0.3545,508.239,-0.0595,
1.1158,0.3131,0.016352,0.3131,508.552,-0.0414,
1.2148,0.2758,0.015236,0.2758,508.828,-0.0373,
0.8451,0.2339,0.023188,0.2339,509.061,-0.0419,
0.8172,0.209,0.00818,0.209,509.27,-0.0249,
1.016,0.1861,0.008012,0.1861,509.457,-0.0229,
0.6408,0.1771,-0.005168,0.1771,509.634,-0.009,
0.6366,0.1758,-0.012764,0.1758,509.809,-0.0013,
0.3071,0.2219,-0.063852,0.2219,510.031,0.0461,
0.1172,0.3936,-0.203188,0.3936,510.425,0.1717,
-1.16,0.5692,-0.221136,0.5692,510.994,0.1756,
-4.6434,0.6915,-0.17762,0.6915,511.686,0.1223,
-5.0921,0.8231,-0.197448,0.8231,512.509,0.1316,
-4.0042,0.8929,-0.141232,0.8929,513.402,0.0698,
-4.4999,0.928,-0.10934,0.928,514.33,0.0351,
-3.0945,0.8722,-0.013976,0.8722,515.202,-0.0558,
-2.2972,0.7642,0.046864,0.7642,515.966,-0.108,
0.0869,0.6142,0.100864,0.6142,516.58,-0.15,
1.6079,0.4385,0.14062,0.4385,517.019,-0.1757,
2.9579,0.3007,0.113744,0.3007,517.319,-0.1378,
3.9518,0.1255,0.16516,0.1255,517.445,-0.1752,
3.2799,0.0071,0.117832,0.0071,517.452,-0.1184,
4.5653,-0.0995,0.11456,-0.0995,517.353,-0.1066,
3.3821,-0.0867,-0.005864,-0.0867,517.266,0.0128,
3.3003,-0.0531,-0.029352,-0.0531,517.213,0.0336,
0.2897,0.0226,-0.077508,0.0226,517.235,0.0757,
-0.2975,0.0968,-0.081944,0.0968,517.332,0.0742,
-1.5014,0.2092,-0.129136,0.2092,517.541,0.1124,
-1.6123,0.3275,-0.1445,0.3275,517.869,0.1183,
-2.7921,0.44,-0.1477,0.44,518.309,0.1125,
-3.1762,0.5341,-0.136828,0.5341,518.843,0.0941,
-3.2562,0.5867,-0.099536,0.5867,519.43,0.0526,
-2.9844,0.6277,-0.091216,0.6277,520.057,0.041,
-2.0521,0.6356,-0.058748,0.6356,520.693,0.0079,
-1.8441,0.6163,-0.030004,0.6163,521.309,-0.0193,
-1.0324,0.5823,-0.012584,0.5823,521.892,-0.034,
-0.3138,0.5639,-0.026712,0.5639,522.455,-0.0184,
0.1217,0.564,-0.04522,0.564,523.019,0.0001,
-0.2315,0.5479,-0.027732,0.5479,523.567,-0.0161,
-0.6942,0.5239,-0.017912,0.5239,524.091,-0.024,
-0.257,0.4777,0.007984,0.4777,524.569,-0.0462,
-0.0115,0.4185,0.02572,0.4185,524.987,-0.0592,
0.6359,0.3683,0.020736,0.3683,525.356,-0.0502,
1.0793,0.2992,0.045164,0.2992,525.655,-0.0691,
0.9547,0.2483,0.031036,0.2483,525.903,-0.0509,
1.5654,0.1863,0.047096,0.1863,526.09,-0.062,
1.2122,0.1465,0.02808,0.1465,526.236,-0.0398,
1.6137,0.1056,0.032452,0.1056,526.342,-0.0409,
1.1383,0.0806,0.018552,0.0806,526.422,-0.025,
1.2476,0.0786,-0.004288,0.0786,526.501,-0.002,
0.9001,0.1206,-0.051648,0.1206,526.621,0.042,
0.3291,0.2242,-0.121536,0.2242,526.846,0.1036,
-0.8549,0.3084,-0.108872,0.3084,527.154,0.0842,
-2.6021,0.4174,-0.142392,0.4174,527.571,0.109,
-2.2855,0.4911,-0.112988,0.4911,528.063,0.0737,
-3.1235,0.5705,-0.12504,0.5705,528.633,0.0794,
-2.3884,0.6231,-0.102448,0.6231,529.256,0.0526,
-2.6897,0.6441,-0.072528,0.6441,529.9,0.021,
-2.1249,0.6374,-0.044292,0.6374,530.538,-0.0067,
-1.3769,0.6124,-0.023992,0.6124,531.15,-0.025,
-0.671,0.554,0.01408,0.554,531.704,-0.0584,
-0.1635,0.4943,0.020156,0.4943,532.198,-0.0597,
0.7883,0.4252,0.035084,0.4252,532.624,-0.0691,
0.9402,0.4108,-0.018464,0.4108,533.034,-0.0144,
1.3134,0.3953,-0.016124,0.3953,533.43,-0.0155,
-0.0253,0.3774,-0.012292,0.3774,533.807,-0.0179,
0.0332,0.362,-0.01356,0.362,534.169,-0.0154,
0.129,0.3398,-0.004984,0.3398,534.509,-0.0222,
0.0973,0.3165,-0.00202,0.3165,534.825,-0.0233,
0.3117,0.2992,-0.006636,0.2992,535.125,-0.0173,
0.3858,0.2828,-0.006224,0.2828,535.407,-0.0164,
0.2704,0.2628,-0.001024,0.2628,535.67,-0.02,
0.2807,0.2457,-0.002556,0.2457,535.916,-0.0171,
0.4107,0.2352,-0.008316,0.2352,536.151,-0.0105,
0.3724,0.2252,-0.008016,0.2252,536.376,-0.01,
0.2284,0.2427,-0.036916,0.2427,536.619,0.0175,
0.2359,0.3184,-0.101172,0.3184,536.937,0.0757,
-0.4866,0.382,-0.09416,0.382,537.319,0.0636,
-2.093,0.4607,-0.115556,0.4607,537.78,0.0787,
-1.9177,0.5106,-0.090748,0.5106,538.291,0.0499,
-2.4526,0.5596,-0.093768,0.5596,538.85,0.049,
-1.8324,0.585,-0.0722,0.585,539.435,0.0254,
-1.9079,0.5872,-0.049176,0.5872,540.022,0.0022,
-1.3687,0.5748,-0.033584,0.5748,540.597,-0.0124,
-0.7931,0.5376,-0.005808,0.5376,541.135,-0.0372,
-0.4033,0.4959,0.002028,0.4959,541.631,-0.0417,
0.2911,0.4266,0.035172,0.4266,542.057,-0.0693,
0.487,0.3672,0.030024,0.3672,542.424,-0.0594,
1.3156,0.2844,0.060048,0.2844,542.709,-0.0828,
1.1869,0.2247,0.041724,0.2247,542.934,-0.0597,
1.9375,0.2126,-0.004908,0.2126,543.146,-0.0121,
1.4794,0.2834,-0.093472,0.2834,543.43,0.0708,
0.3136,0.347,-0.09136,0.347,543.777,0.0636,
-1.9005,0.4311,-0.118588,0.4311,544.208,0.0841,
-1.8477,0.4885,-0.09648,0.4885,544.696,0.0574,
